zip,violent_crime,property_crime
75001,41.6,55.4
75002,14,19.4
75006,33.7,41.8
75007,20.4,27.9
75009,13.3,18
75010,24.9,34.4
75013,8.9,14.8
75019,11.6,18.1
75022,5,2.9
75023,11.5,25.5
75024,11.8,27
75025,10.4,21.9
75028,8.8,13.4
75034,12.9,19.8
75035,8.7,15.1
75038,37.6,58.9
75039,10.4,41.1
75040,30.5,39.2
75041,42.2,50.9
75042,47.3,56.4
75043,33.5,43.4
75044,28.9,38.3
75048,9.1,14.2
75050,44.4,51.9
75051,49.7,56.4
75052,25,31.2
75054,8.6,14.8
75056,23.5,29.2
75057,45.3,53.5
75060,23,45.2
75061,42.1,59.7
75062,30.2,51.9
75063,12.6,37.3
75065,22.8,26.6
75067,38.6,47.2
75068,17.3,21.4
75069,37,44
75070,14.4,21.1
75071,14.6,21.4
75074,19.6,35.7
75075,12.2,27.6
75077,13.3,20.2
75078,4.2,9.2
75080,28.2,36.7
75081,25.7,34.4
75082,10.2,18.1
75088,16.2,20.7
75089,11.9,16.2
75093,11.2,24.5
75094,5,9.2
75098,17.6,22.2
75104,29.3,38.8
75115,35.6,43.4
75116,46.2,52.5
75134,50.6,57.9
75137,40.6,46.8
75141,52.6,60.8
75146,42.5,49.6
75149,43.7,53.3
75150,47.4,58.1
75159,31.9,41.9
75164,22.9,25.2
75166,4.9,9.3
75172,53.5,60.7
75173,14.6,19.1
75180,52.1,57.8
75181,21.4,30.4
75182,4.7,9.1
75201,49.1,63.3
75202,49.4,63.1
75203,70.1,76
75204,60.4,70.9
75205,14.7,21.5
75206,47.6,61.2
75207,67.8,76
75208,49.5,60.4
75209,33.4,46.7
75210,70.5,76.3
75211,59.1,67.3
75212,70.2,75.4
75214,35.3,49.6
75215,70.4,76.2
75216,70.7,76.4
75217,60.6,67.8
75218,35.8,50.3
75219,47.7,61
75220,58.2,67.6
75223,56.6,65.2
75224,65.1,71.9
75225,6.7,12.9
75226,69.2,75.3
75227,53.9,63.3
75228,58,67.2
75229,32.4,44.1
75230,33.6,46.8
75231,66.4,74.8
75232,65.7,72.3
75233,59.6,67.9
75234,31.6,40.5
75235,62,71.2
75236,65.3,73.1
75237,69.9,75.9
75238,42.3,55.6
75240,67.6,75.6
75241,70.1,76
75243,63.7,72.7
75244,35,49.6
75246,70.7,76.4
75247,71.3,76.9
75248,35.2,49.4
75249,37.9,50.8
75251,59.7,71.5
75252,42.2,56.5
75253,58,65.7
75254,64.4,73.8
75270,37,50.7
75287,57.5,69
75390,37,50.7
75407,27.8,32.3
75409,22.2,27.4
75424,14.8,20.3
75442,23.4,29.3
75454,11.1,16.2
76001,25.9,40.7
76002,25.8,40.5
76006,52.1,66.9
76010,61.7,71.9
76011,65.6,74.2
76012,35.9,53.5
76013,36.3,54.5
76014,48.9,62.8
76015,42.8,58.9
76016,23.7,37.4
76017,27.8,45.1
76018,30.4,49.2
76020,27,35.7
76021,29.6,36.4
76022,36.3,43.2
76034,5,2
76036,21.8,28.7
76039,33.2,43.2
76040,35,44.6
76051,26,35
76052,17.9,32.5
76053,35.9,48.3
76054,11.4,22.8
76060,21,28.2
76063,15.3,21
76092,5,4.4
76102,62.1,75.5
76103,52.9,67.9
76104,65.6,76.3
76105,65.3,76.1
76106,52.9,67.7
76107,37.8,59.7
76108,25.7,50.1
76109,25.1,51.7
76110,40.4,60.1
76111,47.2,63.9
76112,55.1,70.1
76114,45,63.2
76115,47.8,64.5
76116,46.4,65.4
76117,42.5,50.5
76118,26,35.2
76119,65.9,76
76120,55.1,70.6
76123,22.5,43
76126,13.2,20.5
76127,40.6,63.8
76129,26.5,51.4
76131,23.2,44.5
76132,40.4,62.4
76133,39,59.6
76134,46.9,64.4
76135,26.1,51.2
76137,24.3,50.6
76140,33,55.3
76148,24.4,30.4
76155,54.3,72.7
76164,55.5,68.9
76177,21.7,42.6
76179,21.6,41
76180,35.7,43.4
76182,14.6,20.8
76201,32.4,48.7
76205,30.8,49.5
76207,12.7,32
76208,11.4,33.8
76209,33.9,50.9
76210,11.5,27.5
76226,2,6.8
76227,12.5,18.4
76244,19.2,35.9
76247,20,37.4
76248,10,14.2
76249,16.9,22.6
76258,25.3,29
76259,20.3,24.9
76262,11.6,16.4
76266,21.2,26.9
